model,calibration,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,ece,mce,delta_brier,delta_ece,delta_mce,calibration_slope,calibration_intercept,mean_probability,prob_std,min_prob,max_prob,tp,fp,tn,fn
logistic_regression,uncalibrated,0.63375,0.6301703163017032,0.6475,0.6387176325524044,0.706925,0.7096140350995819,0.21545212614542783,0.04444214804000599,0.12475894408461369,0.0,0.0,0.0,0.9376307791942123,-0.009492455736720808,0.5022342836005846,0.19811312082083002,0.05437199704331166,0.9614567116156498,259,152,248,141
logistic_regression,sigmoid,0.63,0.625,0.65,0.6372549019607843,0.706925,0.7096140350995819,0.2164892682542132,0.05466398209180418,0.11141870105041352,0.0010371421087853605,0.01022183405179819,-0.013340243034200172,0.9570053096857453,-0.022483476641355627,0.5050118842743593,0.19329399793532775,0.12276355170856333,0.8864334573517408,260,156,244,140
logistic_regression,isotonic,0.6225,0.6056034482758621,0.7025,0.6504629629629629,0.697109375,0.6750549153266754,0.2151401061857684,0.034050314851466895,0.24732743981910402,-0.00031201995965943197,-0.010391833188539097,0.12256849573449033,0.5397548537815104,-0.044388911393856555,0.5071718358007508,0.21490282592808865,0.0,1.0,281,183,217,119
xgboost,uncalibrated,0.64875,0.6483790523690773,0.65,0.6491885143570537,0.7637812499999999,0.7786758339976558,0.19002832341549783,0.07123511610552669,0.18875619666329746,0.0,0.0,0.0,1.0418262431485297,-0.011638363834443699,0.5017439465783536,0.2463446971597155,0.015567563474178314,0.9720178246498108,260,141,259,140
xgboost,sigmoid,0.655,0.6640211640211641,0.6275,0.6452442159383034,0.7637812499999999,0.7786758339976558,0.1934655619296185,0.08252292690764244,0.12096626960467627,0.003437238514120672,0.011287810802115758,-0.06778992705862119,0.9529962611984888,0.041218921135980656,0.49207906796815415,0.25347538202421444,0.05947637221912925,0.9279339444065917,251,127,273,149
xgboost,isotonic,0.6675,0.6892655367231638,0.61,0.6472148541114059,0.764125,0.7557441316054545,0.18904497608246068,0.024412901247851546,0.12564796209335327,-0.000983347333037149,-0.04682221485767514,-0.06310823456994419,0.7960600475453822,0.027063813379225518,0.49677463848609477,0.2603130236071475,0.0,1.0,244,110,290,156
