id,source_dataset,original_label,num_generations,exact_match_agreement,unique_response_ratio,majority_response_fraction,mean_pairwise_similarity,min_pairwise_similarity,max_pairwise_similarity,pairwise_similarity_std,generation_disagreement
halueval-8758,halueval,0,5,0.3,0.6,0.6,0.7649832963943481,0.617753267288208,1.0,0.17686665058135986,0.23501670360565186
fever_192759,fever,1,5,0.0,1.0,0.2,0.8376574516296387,0.6601386070251465,0.9367824792861938,0.0785684660077095,0.16234254837036133
halueval-8221,halueval,1,5,0.1,0.8,0.4,0.8402726054191589,0.6702085137367249,1.0,0.11045783758163452,0.15972739458084106
fever_67766,fever,0,5,0.0,1.0,0.2,0.9301236271858215,0.8814064264297485,0.982070803642273,0.030644968152046204,0.06987637281417847
truthfulqa_539_corr_4,truthfulqa,0,5,0.0,1.0,0.2,0.7878715395927429,0.6671921014785767,0.9081261157989502,0.07534290850162506,0.21212846040725708
halueval-5754,halueval,0,5,0.3,0.6,0.6,0.7436274290084839,0.3704889118671417,1.0,0.2884726822376251,0.2563725709915161
truthfulqa_152_corr_0,truthfulqa,0,5,0.1,0.8,0.4,0.42992377281188965,0.17596551775932312,0.9999998807907104,0.26255202293395996,0.5700762271881104
halueval-7261,halueval,1,5,0.0,1.0,0.2,0.5768938660621643,0.27143746614456177,0.8507831692695618,0.17081809043884277,0.4231061339378357
halueval-6985,halueval,1,5,0.0,1.0,0.2,0.9296404123306274,0.8701028823852539,0.9945247173309326,0.047706443816423416,0.07035958766937256
halueval-6762,halueval,1,5,0.0,1.0,0.2,0.5131498575210571,0.10276298224925995,0.7472290396690369,0.19441212713718414,0.48685014247894287
fever_49839,fever,1,5,0.0,1.0,0.2,0.8634576797485352,0.7556084394454956,0.9306221008300781,0.057513490319252014,0.13654232025146484
fever_148149,fever,1,5,0.0,1.0,0.2,0.7410091161727905,0.5780746340751648,0.8945221304893494,0.09970633685588837,0.2589908838272095
halueval-2767,halueval,1,5,0.0,1.0,0.2,0.9362643361091614,0.8987748622894287,0.9813200235366821,0.02525305561721325,0.06373566389083862
halueval-4873,halueval,1,5,0.6,0.4,0.8,0.7721648216247559,0.4304121136665344,0.9999999403953552,0.2790399193763733,0.22783517837524414
fever_198217,fever,0,5,0.0,1.0,0.2,0.9267635345458984,0.8797847032546997,0.9823067784309387,0.033328134566545486,0.07323646545410156
fever_171500,fever,0,5,0.0,1.0,0.2,0.807074248790741,0.7632511854171753,0.8873496055603027,0.035665154457092285,0.19292575120925903
halueval-439,halueval,1,5,1.0,0.2,1.0,1.0,1.0,1.0,0.0,0.0
halueval-3120,halueval,1,5,1.0,0.2,1.0,1.0,1.0,1.0,0.0,0.0
halueval-9163,halueval,0,5,0.0,1.0,0.2,0.88331538438797,0.7994683980941772,0.993293046951294,0.07755601406097412,0.11668461561203003
halueval-223,halueval,1,5,0.3,0.6,0.6,0.8370444178581238,0.728184700012207,0.9999999403953552,0.12818709015846252,0.16295558214187622
