model,category,count,fraction_of_total,fraction_of_label,prob_mean,prob_median,prob_std,prob_min,prob_max,conf_mean,conf_median,resp_char_len_mean,resp_word_count_mean,prompt_word_count_mean,context_word_count_mean
Logistic Regression,TP,259,0.32375,0.6475,0.6841681116704174,0.6648133530848993,0.1132941017639381,0.5000947106663012,0.9599271715381674,0.6841681116704174,0.6648133530848993,62.12355212355212,10.749034749034749,14.567567567567568,26.104247104247104
Logistic Regression,TN,244,0.305,0.61,0.30541461582118035,0.31019792090134934,0.1227925199227762,0.051877911273962574,0.4998784747062329,0.6945853841788195,0.6898020790986507,23.37295081967213,4.057377049180328,15.581967213114755,29.5
Logistic Regression,FP,156,0.195,0.39,0.6196517399199115,0.605306645049249,0.08487891530859103,0.5027315985468347,0.8756904107650578,0.6196517399199115,0.605306645049249,55.3525641025641,9.653846153846153,10.967948717948717,11.051282051282051
Logistic Regression,FN,141,0.17625,0.3525,0.3795019739467932,0.39879134783355724,0.09191807070554196,0.07350530053735307,0.49980868860958033,0.6204980260532068,0.6012086521664428,34.163120567375884,6.00709219858156,12.035460992907801,14.702127659574469
XGBoost,TP,267,0.33375,0.6675,0.7250151038169861,0.6840652227401733,0.1578095704317093,0.5014790296554565,0.9737129211425781,0.7250150801537188,0.6840652227401733,58.561797752808985,10.142322097378278,14.749063670411985,27.299625468164795
XGBoost,TN,276,0.345,0.69,0.2760907709598541,0.3464955985546112,0.17683133482933044,0.013722042553126812,0.4997340738773346,0.7239092519047899,0.6535044014453888,29.72463768115942,5.134057971014493,14.68840579710145,26.547101449275363
XGBoost,FP,124,0.155,0.31,0.6132949590682983,0.5828057527542114,0.10181321948766708,0.5004958510398865,0.9152386784553528,0.6132950398229784,0.5828057825565338,49.46774193548387,8.701612903225806,11.766129032258064,12.862903225806452
XGBoost,FN,133,0.16625,0.3325,0.4095495343208313,0.4221845269203186,0.0663866251707077,0.18084944784641266,0.49741920828819275,0.5904504777793598,0.5778154730796814,39.63157894736842,6.93984962406015,11.518796992481203,11.61654135338346
