model,feature,tp_mean,tp_median,fn_mean,fn_median,cohen_d_tp_vs_fn,tn_mean,tn_median,fp_mean,fp_median,cohen_d_tn_vs_fp,correct_mean,correct_median,incorrect_mean,incorrect_median,cohen_d_correct_vs_incorrect
Logistic Regression,min_log_prob,-10.16648817982913,-9.586177825927734,-8.154717718878537,-7.808316230773926,-0.5008666599967981,-5.3304618133377994,-3.275939702987671,-10.839124305125994,-10.73554801940918,1.1777404133167433,-7.820582745586814,-8.008289337158203,-9.564709057109525,-9.979233741760254,0.3612620007282098
Logistic Regression,mean_log_prob,-2.362302106608544,-1.95112535253995,-3.177337712953768,-2.708466874063015,0.4768158985906171,-2.4116989558631827,-1.129271193277964,-2.9827020951624426,-2.85515710432188,0.2459997295602918,-2.3862639976982694,-1.7407240626152998,-3.075104863204789,-2.825999602074929,0.33820926585849975
Logistic Regression,mean_token_prob,0.5050404013995962,0.5387241149858354,0.3898930661259644,0.3712492074037722,0.5137650378709724,0.5247631927804087,0.5854948049032604,0.4135787000407028,0.39597304869278,0.38452033535435526,0.5146077196837279,0.545855511398986,0.4023340051518876,0.3904884301126003,0.43418665265089434
Logistic Regression,token_prob_std,0.3771182288144594,0.3932824394121076,0.3175529894725925,0.34241731738737324,0.6088571686134011,0.25913543170367853,0.26925895224206037,0.3724092730012785,0.3836089847811255,-0.7816013703319719,0.3198860170947168,0.36775222190036294,0.3463663909220033,0.3694312995207652,-0.19892806977177382
Logistic Regression,mean_entropy,1.4697670969717873,1.2097949888411677,1.9226268655146737,1.7788859605789185,-0.46379310955132413,1.4541621972095213,1.1170799111326537,1.880984225765132,1.8037892844794052,-0.4042839089964972,1.4621973245224975,1.1555558269222577,1.9007539638280453,1.8011482887502228,-0.4317845115627146
Logistic Regression,max_entropy,3.894394001905522,3.8389854431152344,3.637451044633879,3.5365004539489746,0.17195720261483213,2.8421217316502063,2.747989773750305,4.3576154588506775,4.6792356967926025,-0.9536506186089918,3.383947811165369,3.2576470375061035,4.015719221798258,3.925830841064453,-0.392143218679593
Logistic Regression,entropy_std,1.1736414173160667,1.174152103717321,1.1637438710572179,1.1216447751907177,0.021208648195608037,0.9902682341145387,0.9982984252304556,1.3137029271580662,1.3614929596013488,-0.6422351793923717,1.0846890183077709,1.0848542356007378,1.2425102439586737,1.2773692408301607,-0.3204905753679714
Logistic Regression,log_perplexity,2.362302106608544,1.95112535253995,3.177337712953768,2.708466874063015,-0.4768158985906171,2.4116989558631827,1.129271193277964,2.9827020951624426,2.85515710432188,-0.24599972956029184,2.3862639976982694,1.7407240626152998,3.075104863204789,2.825999602074929,-0.33820926585849975
Logistic Regression,log_mean_token_rank,3.1854630840675413,2.6390573296152584,3.411813429200113,2.995732273553991,-0.10759278960845814,2.387363718926034,1.0986122886681098,3.8378831762961827,3.8204312721316214,-0.673676905402037,2.7983134914342855,1.8769172775683618,3.635607639796028,3.4531571205928664,-0.38884235564014363
Logistic Regression,log_max_token_rank,5.089467446860825,4.820281565605037,4.649200179714451,4.276666119016055,0.1726424087079287,3.0752943567317117,1.7005986908310775,5.803185429433399,6.059616990448816,-1.0216622468519625,4.112413303736564,3.4965075614664802,5.255333846233494,5.220355825078324,-0.41563500424508815
