model,slice,total_samples,tp,fp,tn,fn,error_rate,false_positive_rate,false_negative_rate,accuracy,f1,roc_auc,mean_probability,mean_probability_label_0,mean_probability_label_1
Logistic Regression,overall,800,259,156,244,141,0.37125,0.39,0.3525,0.62875,0.6355828220858896,0.70789375,0.5023701961712627,0.4279670942196856,0.57677329812284
Logistic Regression,fever,200,60,63,37,40,0.515,0.63,0.4,0.485,0.5381165919282511,0.48700000000000004,0.5372998565908794,0.5404690376063371,0.5341306755754217
Logistic Regression,halueval,300,121,19,131,29,0.16,0.12666666666666668,0.19333333333333333,0.84,0.8344827586206897,0.9311111111111111,0.49326601614132215,0.3000002105407256,0.6865318217419186
Logistic Regression,truthfulqa,300,78,74,76,72,0.4866666666666667,0.49333333333333335,0.48,0.5133333333333333,0.5165562913907285,0.5210222222222223,0.4881879359214588,0.48093268230754443,0.49544318953537325
XGBoost,overall,800,267,124,276,133,0.32125,0.31,0.3325,0.67875,0.6750948166877371,0.7688125000000001,0.5003734827041626,0.38062408566474915,0.6201227307319641
XGBoost,fever,200,50,44,56,50,0.47,0.44,0.5,0.53,0.5154639175257731,0.5441,0.49912339448928833,0.49118950963020325,0.507057249546051
XGBoost,halueval,300,128,19,131,22,0.13666666666666666,0.12666666666666668,0.14666666666666667,0.8633333333333333,0.8619528619528619,0.9433333333333334,0.48842447996139526,0.20356681942939758,0.7732821702957153
XGBoost,truthfulqa,300,89,61,89,61,0.4066666666666667,0.4066666666666667,0.4066666666666667,0.5933333333333334,0.5933333333333334,0.6065777777777778,0.5131556987762451,0.4839709997177124,0.5423403978347778
