model,category,count,mean_probability,median_probability,std_probability,min_probability,max_probability
Logistic Regression,TP,259,0.6841681116704174,0.6648133530848993,0.1132941017639381,0.5000947106663012,0.9599271715381674
Logistic Regression,TN,244,0.30541461582118035,0.31019792090134934,0.1227925199227762,0.051877911273962574,0.4998784747062329
Logistic Regression,FP,156,0.6196517399199115,0.605306645049249,0.08487891530859103,0.5027315985468347,0.8756904107650578
Logistic Regression,FN,141,0.3795019739467932,0.39879134783355724,0.09191807070554196,0.07350530053735307,0.49980868860958033
XGBoost,TP,267,0.7250151038169861,0.6840652227401733,0.1578095704317093,0.5014790296554565,0.9737129211425781
XGBoost,TN,276,0.2760907709598541,0.3464955985546112,0.17683133482933044,0.013722042553126812,0.4997340738773346
XGBoost,FP,124,0.6132949590682983,0.5828057527542114,0.10181321948766708,0.5004958510398865,0.9152386784553528
XGBoost,FN,133,0.4095495343208313,0.4221845269203186,0.0663866251707077,0.18084944784641266,0.49741920828819275
